label,mid,lower,upper,covname,paramname
50 kg,0.851216482,0.798738403,1.065981681,Weight,CL
70 kg,0.930800354,0.88877922,1.044758798,Weight,CL
90 kg,1,0.961893883,1.042331586,Weight,CL
120 kg,1.061464713,0.998972619,1.110906901,Weight,CL
ESRD (10 mL/min),0.108283972,0.084833534,0.135513295,CRCL,CL
Severe (22.5 mL/min),0.358769246,0.314807436,0.469703698,CRCL,CL
Moderate (45 mL/min),0.555045174,0.510389079,0.646651086,CRCL,CL
Mild (75 mL/min),0.765320094,0.712654847,0.826713256,CRCL,CL
Normal (116.5 mL/min),1,0.959611155,1.044860061,CRCL,CL
Dose 1x mg,1.168712292,1.10512273,1.241220815,DOSE,CL
Dose 2x mg,1.083081299,1.026434998,1.136104883,DOSE,CL
Dose 3x mg,1.005281653,0.960961082,1.050634394,DOSE,CL
Female,0.856975016,0.801424265,0.896410882,SEX,CL
Male,1.009138687,0.957765474,1.042099331,SEX,CL
Healthy,1.21665038,1.147441628,1.275116705,DS,CL
Disease,1,0.953731057,1.049239043,DS,CL
Overall,1,0.962866592,1.046062886,All,CL
90% of patients,1,0.614079985,1.652656269,BSV,CL
50% of patients,1,0.818903918,1.233474524,BSV,CL
50 kg,1.396457444,1.268316914,1.461336882,Weight,CMAX
70 kg,1.162426511,1.114064088,1.196124028,Weight,CMAX
90 kg,1,0.983072913,1.031552188,Weight,CMAX
120 kg,0.898556454,0.871183643,0.937177289,Weight,CMAX
ESRD (10 mL/min),5.022797225,3.986442425,6.558863039,CRCL,CMAX
Severe (22.5 mL/min),1.783763514,1.494989973,1.987695394,CRCL,CMAX
Moderate (45 mL/min),1.347143164,1.239400169,1.422145368,CRCL,CMAX
Mild (75 mL/min),1.133149398,1.089971404,1.169087101,CRCL,CMAX
Normal (116.5 mL/min),1,0.976757525,1.029057969,CRCL,CMAX
Dose 1x mg,0.247379979,0.238448552,0.249607852,DOSE,CMAX
Dose 2x mg,0.489713399,0.479104972,0.503279143,DOSE,CMAX
Dose 3x mg,1,0.981051614,1.031346579,DOSE,CMAX
Female,1.217125801,1.172787763,1.272805886,SEX,CMAX
Male,1,0.975159514,1.032988185,SEX,CMAX
Healthy,0.941179423,0.909156989,0.967485831,DS,CMAX
Disease,1,0.978147754,1.02890038,DS,CMAX
Capsule,1.034188764,1.008460487,1.069977131,Form,CMAX
Tablet,1.049996235,1.018554119,1.089012953,Form,CMAX
Fed Condition,1,0.98119938,1.033615643,Meal,CMAX
Fast Condition,1,0.983035135,1.026453015,Meal,CMAX
Overall,1,0.979636922,1.027481835,All,CMAX
