"scen","covname","label","wt","age","male","pt","iti","tdos","wk","str","paramname","mid","lower","upper","cov.n","val.n"
5,"AGE","12 years (69.8 kg)",69.8,12,0,1,0,5000,0,0,"1-OH-Midazolam AUC",1.02255063222575,0.955393273225811,1.09225879968346,1,1
6,"AGE","24 years (78 kg)",78,24,0,1,0,5000,0,0,"1-OH-Midazolam AUC",0.95184269045503,0.906791593349247,0.994907983910443,1,2
7,"AGE","32 years (71.9 kg)",71.9,32,0,1,0,5000,0,0,"1-OH-Midazolam AUC",0.962026549025861,0.876936995494895,1.05908983043517,1,3
8,"AGE","43 years (84.4 kg)",84.4,43,0,1,0,5000,0,0,"1-OH-Midazolam AUC",0.900473036959715,0.783141232112059,1.03327364810633,1,4
9,"AGE","70 years (74 kg)",74,70,0,1,0,5000,0,0,"1-OH-Midazolam AUC",0.914798451825648,0.735110076626603,1.14794592152927,1,5
1,"WEIGHT","25 kg (7 years)",25,7,0,1,0,5000,0,0,"1-OH-Midazolam AUC",1.46303666465098,1.18114482735403,1.83569363076552,2,1
2,"WEIGHT","61.9 kg (42 years)",61.9,42,0,1,0,5000,0,0,"1-OH-Midazolam AUC",0.990493211720686,0.859653629461522,1.15645122413169,2,2
3,"WEIGHT","74 kg (34 years)",74,34,0,1,0,5000,0,0,"1-OH-Midazolam AUC",0.950420420995991,0.858338577930551,1.05353788283552,2,3
4,"WEIGHT","86.7 kg (30 years)",86.7,30,0,1,0,5000,0,0,"1-OH-Midazolam AUC",0.909128307326908,0.834699653002382,0.985550594610986,2,4
15,"CYP3A4
INDUCER","Weak Inducer",70,18,0,1,0,5000,1,0,"1-OH-Midazolam AUC",1,1,1,3,1
16,"CYP3A4
INDUCER","Strong Inducer",70,18,0,1,0,5000,0,1,"1-OH-Midazolam AUC",1,1,1,3,2
13,"SEX","Male",70,18,1,1,0,5000,0,0,"1-OH-Midazolam AUC",1.39981,1.264896,1.576762,4,1
10,"TOTAL DOSE","1.25 mg",70,18,0,1,0,1250,0,0,"1-OH-Midazolam AUC",0.257938459375,0.248691761875,0.26709300625,5,1
11,"TOTAL DOSE","2.5 mg",70,18,0,1,0,2500,0,0,"1-OH-Midazolam AUC",0.5105846125,0.4982556825,0.522790675,5,2
12,"TOTAL DOSE","10 mg",70,18,0,1,0,10000,0,0,"1-OH-Midazolam AUC",1.9153231,1.8176746,2.01395454,5,3
14,"FORM.","ITI Formulation",70,18,0,1,1,5000,0,0,"1-OH-Midazolam AUC",1.47615,1.35615,1.6228,6,1
5,"AGE","12 years (69.8 kg)",69.8,12,0,1,0,5000,0,0,"1-OH-Midazolam Cmax",1.02329945956587,0.95608859572427,1.09303464007075,1,1
6,"AGE","24 years (78 kg)",78,24,0,1,0,5000,0,0,"1-OH-Midazolam Cmax",0.926389782072375,0.882507820507828,0.968373701587005,1,2
7,"AGE","32 years (71.9 kg)",71.9,32,0,1,0,5000,0,0,"1-OH-Midazolam Cmax",0.955637737304521,0.871092389501257,1.05192091216588,1,3
8,"AGE","43 years (84.4 kg)",84.4,43,0,1,0,5000,0,0,"1-OH-Midazolam Cmax",0.859350856652994,0.747361505494331,0.986107225203833,1,4
9,"AGE","70 years (74 kg)",74,70,0,1,0,5000,0,0,"1-OH-Midazolam Cmax",0.786352640680195,0.62419997368572,1.0181426242719,1,5
1,"WEIGHT","25 kg (7 years)",25,7,0,1,0,5000,0,0,"1-OH-Midazolam Cmax",2.11313524995277,1.62592912311497,2.7481782943879,2,1
2,"WEIGHT","61.9 kg (42 years)",61.9,42,0,1,0,5000,0,0,"1-OH-Midazolam Cmax",1.02158773901557,0.886324904316535,1.19253096109273,2,2
3,"WEIGHT","74 kg (34 years)",74,34,0,1,0,5000,0,0,"1-OH-Midazolam Cmax",0.937154200218606,0.846464097705585,1.03904511043666,2,3
4,"WEIGHT","86.7 kg (30 years)",86.7,30,0,1,0,5000,0,0,"1-OH-Midazolam Cmax",0.861742421627878,0.791170822269043,0.934206991818538,2,4
15,"CYP3A4
INDUCER","Weak Inducer",70,18,0,1,0,5000,1,0,"1-OH-Midazolam Cmax",1.09064776713176,1.046031948733,1.1440002071257,3,1
16,"CYP3A4
INDUCER","Strong Inducer",70,18,0,1,0,5000,0,1,"1-OH-Midazolam Cmax",1.1832953384554,1.13695952475719,1.23136219663864,3,2
13,"SEX","Male",70,18,1,1,0,5000,0,0,"1-OH-Midazolam Cmax",1.47016888768169,1.2855031191464,1.72376054686066,4,1
10,"TOTAL DOSE","1.25 mg",70,18,0,1,0,1250,0,0,"1-OH-Midazolam Cmax",0.257938459499552,0.248691761837546,0.267093005506377,5,1
11,"TOTAL DOSE","2.5 mg",70,18,0,1,0,2500,0,0,"1-OH-Midazolam Cmax",0.510584612180277,0.498255682898326,0.5227906847062,5,2
12,"TOTAL DOSE","10 mg",70,18,0,1,0,10000,0,0,"1-OH-Midazolam Cmax",1.91532313465824,1.81767468881273,2.0139545799772,5,3
14,"FORM.","ITI Formulation",70,18,0,1,1,5000,0,0,"1-OH-Midazolam Cmax",1.47615000256284,1.35615000000144,1.62280001334702,6,1
5,"AGE","12 years (69.8 kg)",69.8,12,0,1,0,5000,0,0,"Active Moiety AUC",0.960171096238425,0.923473221235068,0.999372161213028,1,1
6,"AGE","24 years (78 kg)",78,24,0,1,0,5000,0,0,"Active Moiety AUC",0.995646221424146,0.96818728898398,1.02706194545507,1,2
7,"AGE","32 years (71.9 kg)",71.9,32,0,1,0,5000,0,0,"Active Moiety AUC",1.05492418986372,0.999043424101363,1.11235484834304,1,3
8,"AGE","43 years (84.4 kg)",84.4,43,0,1,0,5000,0,0,"Active Moiety AUC",1.03656904882464,0.956165465356153,1.12481628700642,1,4
9,"AGE","70 years (74 kg)",74,70,0,1,0,5000,0,0,"Active Moiety AUC",1.42365768639647,1.22052172328976,1.6612401439154,1,5
1,"WEIGHT","25 kg (7 years)",25,7,0,1,0,5000,0,0,"Active Moiety AUC",1.26824724533629,1.047461393687,1.51969884661766,2,1
2,"WEIGHT","61.9 kg (42 years)",61.9,42,0,1,0,5000,0,0,"Active Moiety AUC",1.1414013650461,1.03955721365256,1.2406275242011,2,2
3,"WEIGHT","74 kg (34 years)",74,34,0,1,0,5000,0,0,"Active Moiety AUC",1.05222209766904,0.990933965120704,1.11603608482973,2,3
4,"WEIGHT","86.7 kg (30 years)",86.7,30,0,1,0,5000,0,0,"Active Moiety AUC",0.98567243559331,0.935596033285062,1.04546563332284,2,4
15,"CYP3A4
INDUCER","Weak Inducer",70,18,0,1,0,5000,1,0,"Active Moiety AUC",0.862865468503998,0.793421247619197,0.929842161338098,3,1
16,"CYP3A4
INDUCER","Strong Inducer",70,18,0,1,0,5000,0,1,"Active Moiety AUC",0.744392280844913,0.693924128761306,0.803376343227429,3,2
13,"SEX","Male",70,18,1,1,0,5000,0,0,"Active Moiety AUC",1.14448532173261,1.05685015503601,1.24212459352889,4,1
10,"TOTAL DOSE","1.25 mg",70,18,0,1,0,1250,0,0,"Active Moiety AUC",0.257938459375,0.248691761875,0.26709300625,5,1
11,"TOTAL DOSE","2.5 mg",70,18,0,1,0,2500,0,0,"Active Moiety AUC",0.5105846125,0.4982556825,0.522790675,5,2
12,"TOTAL DOSE","10 mg",70,18,0,1,0,10000,0,0,"Active Moiety AUC",1.9153231,1.8176746,2.01395454,5,3
14,"FORM.","ITI Formulation",70,18,0,1,1,5000,0,0,"Active Moiety AUC",1.47615,1.35615,1.6228,6,1
5,"AGE","12 years (69.8 kg)",69.8,12,0,1,0,5000,0,0,"Active Moiety Cmax",0.944800769757859,0.912919667115548,0.981207320878005,1,1
